#BOOKMARKS;;;;;;;;;;;;;;x;
secret_hussite_community;Secret Hussite Community;Secret Hussite Community;Secret Hussite Community;;Secret Hussite Community;;;;;;;;;x;
secret_hussite_community_desc;In secret, Hussite faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;In secret, Hussite faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;In secret, Hussite faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;;In secret, Hussite faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;;;;;;;;;x;
secret_religious_society_hussite;the Hussite Society;the Hussite Society;the Hussite Society;;the Hussite Society;;;;;;;;;x;
secret_religious_society_hussite_currency;Devotion;Devotion;Devotion;;Devotion;;;;;;;;;x;
secret_religious_society_hussite_desc;Facing persecution from religious authorities, the Hussites spread the words of Jan Hus and his criticisms of the Church in secret;Facing persecution from religious authorities, the Hussites spread the words of Jan Hus and his criticisms of the Church in secret;Facing persecution from religious authorities, the Hussites spread the words of Jan Hus and his criticisms of the Church in secret;;Facing persecution from religious authorities, the Hussites spread the words of Jan Hus and his criticisms of the Church in secret;;;;;;;;;x;
secret_religious_society_hussite_leader_desc;The High Priest, leading the international effort of bringing more people into the fold.;The High Priest, leading the international effort of bringing more people into the fold.;The High Priest, leading the international effort of bringing more people into the fold.;;The High Priest, leading the international effort of bringing more people into the fold.;;;;;;;;;x;
secret_religious_society_hussite_rank_1_female;Faithful;Faithful;Faithful;;Faithful;;;;;;;;;x;
secret_religious_society_hussite_rank_1_male;Faithful;Faithful;Faithful;;Faithful;;;;;;;;;x;
secret_religious_society_hussite_rank_2_female;Adherent;Adherent;Adherent;;Adherent;;;;;;;;;x;
secret_religious_society_hussite_rank_2_male;Adherent;Adherent;Adherent;;Adherent;;;;;;;;;x;
secret_religious_society_hussite_rank_3_female;Preacher;Preacher;Preacher;;Preacher;;;;;;;;;x;
secret_religious_society_hussite_rank_3_male;Preacher;Preacher;Preacher;;Preacher;;;;;;;;;x;
secret_religious_society_hussite_rank_4_female;Herald;Herald;Herald;;Herald;;;;;;;;;x;
secret_religious_society_hussite_rank_4_male;Herald;Herald;Herald;;Herald;;;;;;;;;x;
#LAWS;;;;;;;;;;;;;;;
#TRIBUTARY TYPES;;;;;;;;;;;;;;;
TRIBUTARY_CAROLINGIAN_KING_NAME;Nominal vassal;Nominal vassal;Nominal vassal;;Nominal vassal;;;;;;;;;;
TRIBUTARY_CAROLINGIAN_KING_PLURAL;Nominal vassals;Nominal vassals;Nominal vassals;;Nominal vassals;;;;;;;;;;
SUZERAIN_CAROLINGIAN_KING_NAME;Nominal liege;Nominal liege;Nominal liege;;Nominal liege;;;;;;;;;;
TRIBUTARY_CAROLINGIAN_KING_TRIBUTE;Nominal allegiance;Nominal allegiance;Nominal allegiance;;Nominal allegiance;;;;;;;;;;
#LOADING TIPS;;;;;;;;;;;;;;;
LOADING_TIP_62;An impious Pope may reflect badly on an Emperor that was crowned by him;An impious Pope may reflect badly on an Emperor that was crowned by him;An impious Pope may reflect badly on an Emperor that was crowned by him;;An impious Pope may reflect badly on an Emperor that was crowned by him;;;;;;;;;;
LOADING_TIP_63;Raising a Duchy to kingdom-tier as Holy Roman Emperor will grant the new title to the holder of the original duchy;Raising a Duchy to kingdom-tier as Holy Roman Emperor will grant the new title to the holder of the original duchy;Raising a Duchy to kingdom-tier as Holy Roman Emperor will grant the new title to the holder of the original duchy;;Raising a Duchy to kingdom-tier as Holy Roman Emperor will grant the new title to the holder of the original duchy;;;;;;;;;;
LOADING_TIP_64;After the Investiture Controversy, rulers in Italy can support the pro-Pope Guelphs or the Pro-Emperor Ghibellines;After the Investiture Controversy, rulers in Italy can support the pro-Pope Guelphs or the Pro-Emperor Ghibellines;After the Investiture Controversy, rulers in Italy can support the pro-Pope Guelphs or the Pro-Emperor Ghibellines;;After the Investiture Controversy, rulers in Italy can support the pro-Pope Guelphs or the Pro-Emperor Ghibellines;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x;
